epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,541.322,0.42444,0.73969,0.38485,0.92713,0.92768,0.93176,0.96078,0.86739,0.91536,0.87656,0.9237,0.81628,0.39356,1.60488,0.50729,0.92186,0.000763174,0.000763174,0.000763174
127,545.139,0.42564,0.79557,0.38659,0.90598,0.94284,0.92535,0.95945,0.86619,0.90531,0.88387,0.92385,0.81041,0.39033,1.60284,0.50379,0.92008,0.000712282,0.000712282,0.000712282
128,550.036,0.41838,0.76797,0.38103,0.92132,0.93952,0.91894,0.95843,0.86361,0.89948,0.87863,0.92237,0.80889,0.39884,1.55763,0.49791,0.92236,0.000663292,0.000663292,0.000663292
129,553.956,0.4421,0.87366,0.39744,0.92195,0.93554,0.9207,0.96068,0.86511,0.9211,0.86412,0.92766,0.81468,0.40011,1.54245,0.49167,0.92015,0.000616227,0.000616227,0.000616227
130,557.877,0.41318,0.80509,0.38677,0.92009,0.94156,0.93176,0.96348,0.86763,0.8984,0.89786,0.93018,0.81874,0.39606,1.54123,0.48689,0.91819,0.000571106,0.000571106,0.000571106
131,562.695,0.42564,0.8048,0.37725,0.92715,0.94222,0.93176,0.96442,0.87112,0.90873,0.9018,0.93321,0.82035,0.38686,1.53501,0.48127,0.91565,0.00052795,0.00052795,0.00052795
132,566.509,0.43235,0.85641,0.39412,0.92885,0.93893,0.93176,0.96224,0.87329,0.89828,0.9014,0.92892,0.82186,0.3781,1.54784,0.49189,0.91528,0.000486777,0.000486777,0.000486777
133,570.252,0.42113,0.76165,0.38498,0.92075,0.93973,0.94262,0.96074,0.87075,0.89209,0.91342,0.92673,0.81674,0.37777,1.54997,0.50386,0.91716,0.000447606,0.000447606,0.000447606
134,574.604,0.43253,0.84115,0.38256,0.93402,0.93718,0.93817,0.9577,0.86674,0.89549,0.91254,0.9246,0.81201,0.37881,1.54491,0.51331,0.92039,0.000410454,0.000410454,0.000410454
135,578.659,0.41425,0.82582,0.37189,0.91422,0.93624,0.93817,0.95663,0.86448,0.89827,0.90472,0.92336,0.80398,0.38386,1.54805,0.51044,0.92374,0.000375337,0.000375337,0.000375337
136,582.426,0.40688,0.7183,0.35907,0.92036,0.93924,0.93817,0.95905,0.86421,0.90221,0.91113,0.92463,0.80218,0.39098,1.53949,0.49574,0.92512,0.00034227,0.00034227,0.00034227
137,586.567,0.39617,0.71796,0.35691,0.91878,0.94332,0.93817,0.96027,0.86437,0.89978,0.91113,0.92537,0.80419,0.3913,1.52992,0.485,0.92453,0.000311268,0.000311268,0.000311268
138,591.114,0.4092,0.76747,0.36542,0.923,0.94316,0.93817,0.96022,0.86523,0.90187,0.91113,0.92506,0.8057,0.39159,1.51965,0.48118,0.92435,0.000282345,0.000282345,0.000282345
139,594.975,0.4061,0.76856,0.36498,0.92757,0.94211,0.93817,0.95935,0.86187,0.89776,0.90472,0.92393,0.80623,0.38931,1.50647,0.47963,0.92255,0.000255513,0.000255513,0.000255513
140,598.793,0.41165,0.84542,0.37769,0.93021,0.93861,0.93817,0.9583,0.85904,0.88955,0.91062,0.92252,0.80948,0.38693,1.49386,0.48296,0.92081,0.000230784,0.000230784,0.000230784
141,606.456,0.3844,0.67874,0.35919,0.91237,0.93452,0.92535,0.95612,0.85733,0.89131,0.90784,0.92081,0.8061,0.38874,1.48513,0.48996,0.924,0.000208169,0.000208169,0.000208169
