epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,132.178,0.75967,1.08974,0.72873,1.07029,0.74831,0.85962,0.93327,0.72471,0.75434,0.86056,0.91107,0.72673,0.70288,2.06501,1.43806,1.0743,0.00911469,0.00911469,0.00911469
31,136.149,0.72124,1.10034,0.70878,1.0495,0.73741,0.7922,0.90938,0.71983,0.73906,0.78195,0.88177,0.72081,0.71712,1.86272,1.64646,1.07436,0.00905463,0.00905463,0.00905463
32,139.96,0.76782,1.22717,0.75525,1.09652,0.9346,0.82644,0.95259,0.77066,0.9306,0.81553,0.93061,0.75426,0.69448,1.8792,1.27782,1.04963,0.00899282,0.00899282,0.00899282
33,144.561,0.73119,1.15804,0.71944,1.06555,0.79488,0.91459,0.95473,0.77057,0.79184,0.90434,0.93372,0.75908,0.68704,1.50738,0.9412,1.05112,0.00892928,0.00892928,0.00892928
34,148.675,0.74426,1.20054,0.71309,1.07974,0.81713,0.86541,0.91455,0.72769,0.80225,0.85187,0.90017,0.71665,0.70804,1.59614,0.7946,1.08342,0.00886404,0.00886404,0.00886404
35,152.288,0.75091,1.09847,0.71259,1.06677,0.83852,0.87911,0.93499,0.74122,0.82051,0.87948,0.92164,0.73888,0.66032,1.47243,0.73941,1.0697,0.00879713,0.00879713,0.00879713
36,156.616,0.72633,1.02539,0.69037,1.0737,0.92341,0.93046,0.9638,0.76999,0.88103,0.92157,0.92702,0.75428,0.68765,1.70417,0.6721,1.07403,0.00872857,0.00872857,0.00872857
37,160.875,0.77416,1.2103,0.76053,1.08729,0.86643,0.87654,0.94013,0.7556,0.82372,0.90568,0.91465,0.74789,0.69482,1.92797,0.76841,1.09827,0.00865839,0.00865839,0.00865839
38,164.689,0.72926,1.01299,0.69578,1.06751,0.82073,0.9225,0.95333,0.7722,0.80236,0.89757,0.9279,0.75759,0.64442,1.52028,0.72201,1.04208,0.00858664,0.00858664,0.00858664
39,168.728,0.74627,1.22228,0.73353,1.0636,0.87987,0.85917,0.93903,0.75809,0.86042,0.8583,0.90833,0.74767,0.72907,1.6961,0.74339,1.07612,0.00851333,0.00851333,0.00851333
40,173.401,0.73159,1.08674,0.7156,1.07453,0.79199,0.73218,0.93161,0.72932,0.85183,0.68553,0.90235,0.73535,0.71807,1.56038,0.98823,1.08204,0.00843851,0.00843851,0.00843851
41,177.114,0.77157,1.08187,0.73242,1.05404,0.88227,0.74317,0.90429,0.72243,0.90847,0.76204,0.89316,0.72119,0.72756,1.61609,0.98363,1.10411,0.0083622,0.0083622,0.0083622
42,180.808,0.71952,1.22309,0.7214,1.0503,0.80072,0.83521,0.87493,0.70659,0.82553,0.83456,0.86615,0.71175,0.73626,1.35653,0.80319,1.08311,0.00828443,0.00828443,0.00828443
43,185.606,0.67987,1.00006,0.66004,1.01879,0.8096,0.86448,0.93756,0.73658,0.82553,0.86862,0.90664,0.74822,0.70772,1.40873,0.76176,1.04327,0.00820525,0.00820525,0.00820525
44,189.34,0.67048,1.11605,0.6649,1.04122,0.89941,0.86961,0.94952,0.76116,0.88926,0.85922,0.92473,0.74136,0.57947,1.43548,0.70753,1.00117,0.00812468,0.00812468,0.00812468
45,193.139,0.68404,1.11158,0.68106,1.0349,0.88849,0.90382,0.94779,0.7883,0.89563,0.90792,0.92961,0.76146,0.58597,1.57519,0.66407,0.98956,0.00804277,0.00804277,0.00804277
46,197.972,0.68093,1.16742,0.6518,1.02074,0.84339,0.9093,0.93117,0.79398,0.82832,0.88798,0.92053,0.75916,0.57238,1.7145,0.69594,0.99834,0.00795954,0.00795954,0.00795954
47,201.652,0.65607,1.08084,0.64233,1.0359,0.87786,0.91363,0.9326,0.79171,0.88024,0.91077,0.92172,0.7709,0.58346,1.48495,0.65165,0.99586,0.00787503,0.00787503,0.00787503
48,205.463,0.65144,1.00952,0.60594,1.01306,0.88839,0.91253,0.94923,0.79271,0.87951,0.90504,0.933,0.76931,0.59206,1.3874,0.63106,1.0218,0.00778929,0.00778929,0.00778929
49,210.059,0.62167,0.98222,0.61355,1.00586,0.93241,0.85209,0.94209,0.77914,0.9283,0.85528,0.92788,0.76256,0.60061,1.4043,0.62504,1.01649,0.00770234,0.00770234,0.00770234
50,213.773,0.66325,1.07265,0.61888,1.00054,0.91084,0.83958,0.93559,0.7824,0.85985,0.88836,0.90728,0.74989,0.55925,1.52364,0.6409,0.99975,0.00761423,0.00761423,0.00761423
51,217.457,0.61461,0.99447,0.59526,1.00966,0.83594,0.95128,0.95047,0.79643,0.92698,0.81709,0.91485,0.76747,0.54944,1.58224,0.61662,0.98251,0.007525,0.007525,0.007525
52,221.908,0.66612,1.22083,0.63992,1.04264,0.86156,0.94114,0.95728,0.81357,0.84737,0.89235,0.91732,0.76815,0.53209,1.74965,0.6837,0.97735,0.00743468,0.00743468,0.00743468
53,226.083,0.64345,1.06836,0.5993,1.0131,0.80471,0.90638,0.94433,0.8101,0.79533,0.88937,0.9179,0.7694,0.5605,1.7614,0.68075,0.98137,0.00734332,0.00734332,0.00734332
54,229.8,0.64928,0.97006,0.60165,1.01876,0.87934,0.94533,0.95328,0.7978,0.92179,0.87307,0.92564,0.77981,0.57765,1.76789,0.56797,0.99957,0.00725094,0.00725094,0.00725094
55,233.641,0.64092,1.03043,0.60545,1.0285,0.93439,0.86548,0.95621,0.8076,0.90725,0.82267,0.91825,0.76453,0.55368,1.78746,0.5914,1.00821,0.00715761,0.00715761,0.00715761
56,238.072,0.63933,1.10925,0.60656,1.02125,0.85628,0.78189,0.94786,0.7939,0.85702,0.76889,0.91169,0.76413,0.56642,1.73457,0.79402,1.00016,0.00706335,0.00706335,0.00706335
57,241.826,0.62564,1.01746,0.60843,1.01787,0.92076,0.85982,0.9565,0.8034,0.88047,0.85803,0.92503,0.76787,0.55472,1.72735,0.70719,0.98619,0.0069682,0.0069682,0.0069682
58,245.539,0.61599,1.01032,0.59019,1.02273,0.90748,0.88564,0.9487,0.8115,0.92101,0.88494,0.92722,0.77645,0.56285,1.72489,0.72818,0.98167,0.00687222,0.00687222,0.00687222
59,250.383,0.61644,1.09777,0.61301,1.01123,0.87387,0.90369,0.93293,0.79508,0.86436,0.88702,0.91935,0.7729,0.55317,1.66954,0.68661,0.98092,0.00677543,0.00677543,0.00677543
60,254.247,0.60563,1.09451,0.59909,0.9909,0.84716,0.91123,0.93831,0.80193,0.83502,0.89478,0.91089,0.76148,0.55309,1.69028,0.64473,0.98628,0.00667789,0.00667789,0.00667789
61,257.968,0.60392,1.01308,0.57185,0.98532,0.89344,0.88475,0.94858,0.81926,0.86442,0.9003,0.92856,0.76571,0.54163,1.54469,0.57666,0.96974,0.00657963,0.00657963,0.00657963
